"Organization Group Name","Location Group Path"
"CIS-UCBRA","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-UCBRA"
"CIS-Merative","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Merative"
"CIS-Celonis","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Celonis"
"CIS-GreenSky","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-GreenSky"
"IBEX NewEnrollTEST","Global / AirWatch Clients / India / Genpact / IBEX / IBEX Dev / IBEX NewEnrollTEST"
"Genpact-EU","Global / AirWatch Clients / India / Genpact / Genpact-EU"
"NorthCEE Prod","Global / AirWatch Clients / India / Genpact / NorthCEE / NorthCEE Prod"
"IBEX Dev","Global / AirWatch Clients / India / Genpact / IBEX / IBEX Dev"
Aspen,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Aspen"
AMEX,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / AMEX"
Synchrony,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Synchrony"
ManuLife,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / ManuLife"
Anthem,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Anthem"
TCCC,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / TCCC"
WestPac,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / WestPac"
LFS,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / LFS"
LMGRS,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / LMGRS"
Mars,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Mars"
NAB,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / NAB"
Voya,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Voya"
McKesson,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / McKesson"
Citi,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Citi"
CIOX,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / CIOX"
NBS,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / NBS"
ElementFinancial,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / ElementFinancial"
Nike,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Nike"
USG,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / USG"
USSteel,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / USSteel"
Kantar,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Kantar"
GPT,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / GPT"
LMNAS,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / LMNAS"
RFIB,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / RFIB"
Diversey,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Diversey"
Sysco,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Sysco"
Sanoma,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Sanoma"
LW,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / LW"
Canon,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Canon"
GlaxoSmithKline,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / GlaxoSmithKline"
PacificLife,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / PacificLife"
Radial,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Radial"
Brookfield,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Brookfield"
Etrade,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Etrade"
eBay,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / eBay"
TCFBank,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / TCFBank"
KonikaMinolta,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / KonikaMinolta"
Alcon,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Alcon"
Covidien,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Covidien"
Conagra,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Conagra"
ABB,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / ABB"
BectonDeckinson,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / BectonDeckinson"
Astellas,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Astellas"
AxisCapital,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / AxisCapital"
SCI,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / SCI"
Schneider,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Schneider"
Abinbev,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Abinbev"
Carlsberg,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Carlsberg"
WPPJWTGTB,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / WPPJWTGTB"
DixonsCarphone,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / DixonsCarphone"
Covance,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Covance"
RobertShaw,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / RobertShaw"
Mattel,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Mattel"
SIC,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / SIC"
Ferring,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Ferring"
FederalMogul,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / FederalMogul"
Tango,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Tango"
Byram,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Byram"
Heineken,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Heineken"
McDonalds,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / McDonalds"
BoehringerIngelheim,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / BoehringerIngelheim"
EsteeLauder,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / EsteeLauder"
DeanFoods,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / DeanFoods"
CACIBParis,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / CACIBParis"
Astrazeneca,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Astrazeneca"
Stericycle,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Stericycle"
MERS,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / MERS"
Nexans,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Nexans"
"HoneyBadger_CO","Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / HoneyBadger / HoneyBadger_CO"
Kone,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Kone"
Entercom,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Entercom"
Zurich,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Zurich"
Armstrong,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Armstrong"
Stada,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Stada"
MedPro,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / MedPro"
AdvisorGroup,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / AdvisorGroup"
DirectEnergy,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / DirectEnergy"
AFL,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / AFL"
WeWork,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / WeWork"
ICICI,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / ICICI"
BGIM,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / BGIM"
LiveKindly,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / LiveKindly"
Aetna,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Aetna"
NPI,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / NPI"
Tyson,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Tyson"
InterNex,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / InterNex"
Abbvie,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Abbvie"
HESSCorporation,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / HESSCorporation"
ToyotaFinSer,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / ToyotaFinSer"
"HoneyBadger_CO_GCC","Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / HoneyBadger / HoneyBadger_CO / HoneyBadger_CO_GCC"
IPB,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / IPB"
Jefferies,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Jefferies"
TIP,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / TIP"
FelixHorizon,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / FelixHorizon"
CME,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / CME"
OpenWealth,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / OpenWealth"
Bayer,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Bayer"
Otsuka,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Otsuka"
DrReddys,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / DrReddys"
Aveva,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Aveva"
INGKYC,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / INGKYC"
MTBank,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / MTBank"
Catalina,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Catalina"
ICE,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / ICE"
VersantHealth,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / VersantHealth"
Powerfleet,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Powerfleet"
HDSupply,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / HDSupply"
PayPal,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / PayPal"
LPIAXA,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / LPIAXA"
PG,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / PG"
Ares,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Ares"
Coty,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Coty"
INNIO,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / INNIO"
JaguarLandrover,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / JaguarLandrover"
Cision,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Cision"
Boston,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Boston"
PublishingGRA,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / PublishingGRA"
CIOXPHP,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / CIOXPHP"
Beiersdorf,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Beiersdorf"
WilliamBlair,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / WilliamBlair"
BusinessPlatform,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / BusinessPlatform"
WAM,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / WAM"
Haier,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Haier"
Reeds,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Reeds"
AutoPlus,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / AutoPlus"
CarlsonWagonlit,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / CarlsonWagonlit"
PayComAML,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / PayComAML"
TIAA,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / TIAA"
RiskCanvas,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / RiskCanvas"
SPXFlow,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / SPXFlow"
AthenaVirence,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / AthenaVirence"
UnitedBiscuits,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / UnitedBiscuits"
CreditSuisse,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / CreditSuisse"
Xylem,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Xylem"
WesternUnion,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / WesternUnion"
PhilAm,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / PhilAm"
KeyBank,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / KeyBank"
NationalGeographicSociety,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / NationalGeographicSociety"
BECU,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / BECU"
Grizzard,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Grizzard"
Eisai,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Eisai"
Rainbird,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Rainbird"
WPH,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / WPH"
MUFG,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / MUFG"
LeggMason,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / LeggMason"
FLSmidth,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / FLSmidth"
Bombardier,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Bombardier"
CSC,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / CSC"
BankofAmerica,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / BankofAmerica"
Current,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Current"
DigitalBPM,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / DigitalBPM"
SRN,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / SRN"
Zentiva,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Zentiva"
Newell,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Newell"
Danone,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Danone"
DigitalRPADeveloper,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / DigitalRPADeveloper"
CorpSharedServices,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / CorpSharedServices"
LamResearch,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / LamResearch"
RocketSoftware,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / RocketSoftware"
Aryzta,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Aryzta"
NBA,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / NBA"
Starwood,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Starwood"
"8000_DualAsset","Global / AirWatch Clients / India / Genpact / NorthCEE / 8000_DualAsset"
Clorox,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Clorox"
HRBlock,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / HRBlock"
Wesco,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Wesco"
"Wells-Fargo","Global / AirWatch Clients / India / Genpact / IBEX / IBEX Dev / Sample Policy Setup / Wells-Fargo"
Hertz,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Hertz"
Gannett,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Gannett"
Olympus,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Olympus"
RLS,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / RLS"
Bose,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Bose"
"NorthCEE Dev","Global / AirWatch Clients / India / Genpact / NorthCEE / NorthCEE Dev"
Brex,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Brex"
"HoneyBadger_CO_iOS","Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / HoneyBadger / HoneyBadger_CO / HoneyBadger_CO_iOS"
"IBEX-Test-CIS-ABB","Global / AirWatch Clients / India / Genpact / IBEX / IBEX Dev / IBEX Test CIS Baseline / IBEX-Test-CIS-ABB"
PartyCity,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / PartyCity"
Celonis,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Celonis"
DigitalHealthcare,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / DigitalHealthcare"
Galderma,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Galderma"
IBEXViatrisService,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / IBEXViatrisService"
IBEXBOKFService,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / IBEXBOKFService"
Kellogg,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Kellogg"
Enquero,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Enquero"
"CIS-VersantHealth","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-VersantHealth"
"CIS-CarlsonWagonlit","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-CarlsonWagonlit"
"CIS-Entercom","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Entercom"
"CIS-Sysco","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Sysco"
"CIS-Astrazeneca","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Astrazeneca"
"CIS-TCFBank","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-TCFBank"
DedHam,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / DedHam"
"CIS-AxisCapital","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-AxisCapital"
"CIS-Aetna","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Aetna"
"CIS-ManuLife","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-ManuLife"
Savant,"Global / AirWatch Clients / India / Genpact / IBEX / IBEX Prod / Savant"
"CIS-WestPac","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-WestPac"
"CIS-SIC","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-SIC"
"CIS-AdvisorGroup","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-AdvisorGroup"
"CIS-ABB","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-ABB"
"CIS-MERS","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-MERS"
"CIS-AFL","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-AFL"
"CIS-Abinbev","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Abinbev"
